"UniqueCarrier","colYear","colMonth","total_cancelled"
"MQ","2004","6","0"
"CO","2004","11","0"
"OO","2003","1","0"
"AA","1993","11","0"
"AA","2004","8","0"
"AA","2007","12","0"
"HP","1988","1","0"
"UA","1989","9","0"
"AA","2007","8","0"
"WN","1988","4","0"
"NW","1996","3","0"
"CO","1989","7","0"
"AS","1998","10","0"
"NW","1995","6","0"
"AA","2008","12","0"
"DL","1990","3","0"
"AS","1989","12","0"
"9E","2007","5","0"
"NW","1991","7","0"
"NW","1990","6","0"
"DL","1990","11","0"
"NW","1988","6","0"
"OH","2005","4","0"
"NW","1999","5","0"
"EV","2004","4","0"
"NW","2008","5","0"
"YV","2007","5","0"
"AS","2006","9","0"
"DL","2000","11","0"
"CO","1991","10","0"
"US","2004","5","0"
"DL","1995","6","0"
"DL","1988","2","0"
"NW","1999","2","0"
"HA","2007","12","0"
"B6","2003","12","0"
"AA","1996","1","0"
"WN","2002","6","0"
"HP","1996","5","0"
"PA (1)","1987","12","0"
"HP","2002","8","0"
"CO","1996","2","0"
"AS","1989","10","0"
"NW","1988","7","0"
"US","1992","4","0"
"AA","2008","3","0"
"UA","1994","9","0"
"MQ","2002","8","0"
"AA","1997","10","0"
"NW","1988","9","0"
"NW","1993","5","0"
"WN","1997","2","0"
"CO","1997","3","0"
"HP","1990","9","0"
"NW","1994","10","0"
"NW","1994","7","0"
"NW","1993","6","0"
